序号,招聘主题,用人单位,发布日期,浏览次数
273,机械工程师,深圳市安保科技有限公司,2021-12-13,58
274,QT开发工程师,深圳市安保科技有限公司,2021-12-13,59
275,运营推广,广州敏视数码科技有限公司,2021-12-13,60
276,嵌入式Linux软件工程师,广州敏视数码科技有限公司,2021-12-13,59
277,图像算法工程师-深度学习方向,广州敏视数码科技有限公司,2021-12-13,61
278,嵌入式图像算法工程师,广州敏视数码科技有限公司,2021-12-13,82
279,软件测试工程师,广州敏视数码科技有限公司,2021-12-13,59
280,教务专员（数据分析、网络应用与管理方向）,西安西补教育培训学校有限责任公司,2021-12-13,58
281,管培生（供应链方向）,广州敏视数码科技有限公司,2021-12-13,57
282,管培生（生产管理方向）,广州敏视数码科技有限公司,2021-12-13,60
283,技术研发人员,福建（泉州）哈工大工程技术研究院,2021-12-13,53
284,品牌设计专员,广州敏视数码科技有限公司,2021-12-13,55
285,黄河科技学院招聘公告2021年黄河科技学院博士招聘公告,北京磐石活水信息科技有限公司,2021-12-11,60
286,智能化研究岗,爱玛科技集团股份有限公司,2021-12-10,72
287,工艺工程师,苏州臻芯微电子有限公司,2021-12-10,85
288,中科院微电子所低功耗智能芯片与系统团队多岗位招聘,中国科学院微电子研究所,2021-12-10,76
289,责任工程师,中建八局第四建设有限公司,2021-12-10,65
290,工艺整合工程师,苏州臻芯微电子有限公司,2021-12-10,68
291,设备工程师,苏州臻芯微电子有限公司,2021-12-10,69
292,生产工程师,苏州臻芯微电子有限公司,2021-12-10,69
293,小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,90
294,小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,75
295,软件开发,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,66
296,小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,85
297,小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,70
298,光缆通信技术研发,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,64
299,网络智能应用运营工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,69
300,终端测试等孵化业务,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,62
301,数据分析工程师,广州文远知行科技有限公司,2021-12-10,79
302,超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-12-10,55
303,电磁兼容检测,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,63
304,电源检测,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,62
305,配电工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,60
306,智能化工程售前工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,65
307,云网解决方案,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,63
308,电子工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,69
309,专业技术工程师,青岛海尔特种电冰柜有限公司,2021-12-10,62
310,软件工程师,浙江正元智慧科技股份有限公司,2021-12-10,53
311,大数据工程师,浙江正元智慧科技股份有限公司,2021-12-10,52
312,产品助理,浙江正元智慧科技股份有限公司,2021-12-10,62
313,技术支持工程师,浙江正元智慧科技股份有限公司,2021-12-10,53
314,测试开发工程师,广州文远知行科技有限公司,2021-12-10,54
315,软件开发工程师-操作系统开发工程师,广州文远知行科技有限公司,2021-12-10,58
316,信息化工程师,中建路桥集团有限公司,2021-12-09,95
317,电子/电器工艺/制程工程师,阳信长威电子有限公司,2021-12-09,61
318,产品设计类,阳信长威电子有限公司,2021-12-09,66
319,客户服务工程师,阳信长威电子有限公司,2021-12-09,62
320,研发设计员,武汉航空仪表有限责任公司,2021-12-09,95
321,投融资项目经理；法务经理；行政经理,深圳市中小微企业投资管理有限公司,2021-12-09,64
322,品质管理工程师,阳信长威电子有限公司,2021-12-09,67
323,供应商管理专员,阳信长威电子有限公司,2021-12-09,62
324,信息自动化,阳信长威电子有限公司,2021-12-09,65
325,软件开发工程师,阳信长威电子有限公司,2021-12-09,62
326,电子工程师,阳信长威电子有限公司,2021-12-09,62
327,机械设备工程师,阳信长威电子有限公司,2021-12-09,67
328,环境安全工程师,阳信长威电子有限公司,2021-12-09,60
329,电气工程师,宁波天波港联电子有限公司,2021-12-09,58
330,生产培训生,内蒙古伊利实业集团股份有限公司郑州第一分公司,2021-12-09,64
331,机械工程师,宁波天波港联电子有限公司,2021-12-09,56
332,工艺工程师,宁波天波港联电子有限公司,2021-12-09,56
333,研发设计工程师,宁波天波港联电子有限公司,2021-12-09,54
334,税务助理,山东百丞税务服务股份有限公司,2021-12-09,85
335,集控运行/检修,芜湖发电有限责任公司,2021-12-09,43
336,工程师,西安公路研究院南京院,2021-12-08,65
337,软件工程师,紫光数码（苏州）集团有限公司,2021-12-08,76
338,管培生,紫光数码（苏州）集团有限公司,2021-12-08,85
339,解决方案测试工程师,天音通信有限公司,2021-12-08,106
340,UX设计与研究,天音通信有限公司,2021-12-08,98
341,硬件测试,天音通信有限公司,2021-12-08,96
342,单板硬件开发,天音通信有限公司,2021-12-08,94
343,自如集团2022管培生招聘,北京自如生活企业管理有限公司,2021-12-08,59
344,（世界500强）物产中大2022届校园招聘,浙江物产金属集团有限公司,2021-12-08,58
345,有机合成研究员,上海美迪西生物医药股份有限公司,2021-12-08,51
346,电机驱动助理工程师,北京大豪科技股份有限公司,2021-12-08,57
347,主控助理工程师（嵌入式）,北京大豪科技股份有限公司,2021-12-08,51
348,硬件开发助理工程师,北京大豪科技股份有限公司,2021-12-08,56
349,测试工程师,北京大豪科技股份有限公司,2021-12-08,52
350,电机驱动软件开发工程师,北京大豪科技股份有限公司,2021-12-08,55
351,主控开发工程师（嵌入式）,北京大豪科技股份有限公司,2021-12-08,53
352,硬件开发工程师,北京大豪科技股份有限公司,2021-12-08,58
353,产品质量管理工程师,北京大豪科技股份有限公司,2021-12-08,56
354,技术支持工程师,北京大豪科技股份有限公司,2021-12-08,58
355,工程师助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,63
356,人事助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,58
357,采购助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,78
358,电气工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,60
359,机械工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,65
360,layout 工程师,深圳麦科信仪器有限公司,2021-12-07,57
361,工艺研发工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,52
362,软件工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,57
363,光学研发工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,54
364,专利工程师（理工科零起点培训）,北京同达信恒知识产权代理有限公司,2021-12-07,67
365,人力资源类,牧原食品股份有限公司,2021-12-07,91
366,供应链,牧原食品股份有限公司,2021-12-07,91
367,机械工程师,牧原食品股份有限公司,2021-12-07,95
368,通信工程师,牧原食品股份有限公司,2021-12-07,88
369,大数据开发工程师,牧原食品股份有限公司,2021-12-07,86
370,软件开发类,牧原食品股份有限公司,2021-12-07,80
371,算法工程师,牧原食品股份有限公司,2021-12-07,76
372,销售,牧原食品股份有限公司,2021-12-07,79
373,高中各学科教师,保定东方双语学校,2021-12-07,56
374,爱玛科技集团2022届校招,爱玛科技集团股份有限公司,2021-12-07,53
375,营销策划,东莞市盛雄激光先进装备股份有限公司,2021-12-07,47
376,售后助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,50
377,业务助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,70
378,设备装调工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,56
379,交付工艺工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,50
380,设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-07,48
381,关于2022年度湖南省国资委“英培计划”人才选拔公告,湖南省人民政府国有资产监督管理委员会,2021-12-07,93
382,软件工程师,上海创远仪器技术股份有限公司,2021-12-06,89
