序号,招聘主题,雇主类型
287,中国科学院长春应用化学研究所2021年度招聘启事,研究机构
289,北京爱帮智汇科技有限公司2022年度校园招聘公告,互联网科技企业
290,网龙网络公司2022届秋季校园招聘简章,互联网科技企业
291,易航智能—供应链管理专员,互联网科技企业
292,网易有道秋招补招-火热进行ing（免笔试！）,互联网科技企业
293,网罗英才 智创未来 罗克韦尔自动化大连软件研发中心2022秋季校园招聘简章,互联网科技企业
294,诚邀海内外优秀青年人才参加河南大学第五届国际青年学者（博士后）论坛,互联网科技企业
295,助理研究员,研究机构
296,广州虹科电子科技2022秋季校园招聘（全国）,互联网科技企业
297,科技兴邦 强军报国-国防科技大学第六十三研究所2021-2022年文职、博士后招收,互联网科技企业
298,巢湖学院博士人才引进公告（待遇优渥） （安徽·合肥）,教育单位类
299,中国移动总部网络事业部“金种子计划” 专项校园招聘,其他类型企业
300,中国邮政集团有限公司山西省分公司 2022年度校园招聘公告,其他类型企业
301,西安电子科技大学期刊中心2021年外聘人员一般岗位招聘公告,互联网科技企业
302,浙江大学化学系、浙大杭州国际科创中心郭庆辉课题组2021年诚招博士后,互联网科技企业
303,2022年江苏省泰州市选聘党政青年人才简章,其他类型企业
304,中国联合工程有限公司2022届校园招聘,工业科技企业
305,景贤礼士 WE梦相聚 ——北京市石景山区“走进高校引才计划” 宣讲招聘公告,互联网科技企业
306,赓续百年初心 担当育人使命-大庆师范学院2021年下半年公开招聘教师公告,教育单位类
307,2022届阿丘科技校园招聘,互联网科技企业
308,开源证券【北交所业务专场】2022届校园招聘,金融企业
309,中信证券校招管培生-北京分公司,金融企业
310,北京伏尔特技术有限公司2022校园招聘,互联网科技企业
311,合肥安晶龙电子股份有限公司2022届校园招聘,互联网科技企业
312,"吴奇院士团队招聘博士后公告（分子生物学, 高分子，化学工程和食品专业）",教育单位类
313,朝晖股份 2022 校园招聘简章,互联网科技企业
314,北京爱万提斯科技有限公司2022年校园招聘,互联网科技企业
315,厦门雅迅网络股份有限公司2022届校园招聘简章,互联网科技企业
316,中国铁路物资集团有限公司 2022校园招聘简章,其他类型企业
317, 中联重科2022届校园招聘简章,其他类型企业
318, 中联重科（工业互联网板块）2022届校园招聘简章,其他类型企业
319,河北省农村信用社 2021年员工招聘简章,其他类型企业
320,2022慧策（北京掌上先机网络科技有限公司）校园招聘,互联网科技企业
321,和芯星通科技（北京）有限公司人才引进,互联网科技企业
323,通讯科技公司诚招项目管理/商务助理,互联网科技企业
324,全国中小企业股份转让系统有限责任公司 2021年下半年招聘公告,工业科技企业
325,空军工程人才引进公告,工业科技企业
326,本邦科技 22届应届毕业生校招项目,互联网科技企业
327,远洋集团2022届校园招聘,金融企业
328,2022届赛尔网络有限公司校园招聘简章,互联网科技企业
330,教师（博士）,教育单位类
331,教师（硕士）,教育单位类
332,东华大学民用航空复合材料协同创新中心2021年招聘启事,互联网科技企业
333,宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，招聘网络信息安全投资经理和研究员,金融企业
334,中国电子科技集团公司第十一研究所,研究机构
335,广芯电子技术(上海)股份有限公司校招信息,互联网科技企业
336,宁波国君源泓投资管理有限公司是在中国基金业协会备案的私募股权基金管理人，网络信息安全行业研究员和投资经理招聘,金融企业
338,鼎道智联2022届校园招聘简章,互联网科技企业
339,北京巴别时代科技有限公司-巴别时代2022校招,互联网科技企业
340,锐方（上海）私募基金管理有限公司招聘,金融企业
341,哈药集团股份有限公司,医疗科技企业
342,商业航天明星企业【零壹空间】空中宣讲来啦！！,互联网科技企业
343,天津雀巢有限公司,其他类型企业
344,北京市联德律师事务所校招,生活类企业
345,西安工业大学新能源科学与技术研究院2021招聘简章,互联网科技企业
346,深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘,互联网科技企业
347,北京大学化学与分子工程学院纳米结构功能材料课题组招聘优秀人才,互联网科技企业
348,闽江学院2021下半年度高层次人才招聘公告,教育单位类
349,台州学院高等研究院—智能信息处理研究所招聘启事,教育单位类
350,青岛海信微联信号有限公司2022届校园招聘,互联网科技企业
351,九江学院2021年高层次人才招聘公告,互联网科技企业
352,武汉东湖学院高层次（高学历）人才招聘公告,互联网科技企业
353,中国科学院天津工业生物技术研究所体外合成生物学中心游淳课题组招聘启事,互联网科技企业
354,中国科学院微电子研究所低功耗智能芯片与系统团队招聘,教育单位类
355,嘉应学院2021-2022年人才招聘启事,教育单位类
356,重庆邮电大学2021-2022年招聘启事,互联网科技企业
357,台州学院高等研究院——智能信息处理研究所招聘启事,互联网科技企业
358,广东省电信规划设计院有限公司北京分院2022校园招聘,工业科技企业
359,工业和信息化部网络安全产业发展中心（工业和信息化部信息中心）,工业科技企业
360,宽带资本,专业技术服务企业
361,2022南京理工大学江阴校区教师招聘,教育单位类
362,虹科电子,互联网科技企业
363,北方自动控制技术研究所2021年招聘启事,互联网科技企业
364,超星集团2021秋季校园招聘（全国）,其他类型企业
365,广芯电子技术（上海）股份有限公司,互联网科技企业
366,重庆川仪控制系统有限公司上海分公司,工业科技企业
367,国家计算机网络应急技术处理协调中心安徽分中心2022年度公开招聘公告,互联网科技企业
368,中国农业银行博士后科研工作站2022年度招收博士后研究人员公告,互联网科技企业
369,山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘,互联网科技企业
370,丽水学院2021年下半年人才招聘启事,互联网科技企业
371,南京信息工程大学高端光电仪器及激光技术团队诚招青年教师和师资博后,互联网科技企业
372,清华大学材料课题组招聘热电/热障/结构陶瓷博士后,互联网科技企业
373,杭州谱育科技发展有限公司-开发类岗位,互联网科技企业
375,重庆海联职业技术学院2021年高层次人才引进,互联网科技企业
376,九江学院2022年高层次人才招聘  ,互联网科技企业
377,中国电器科学研究院股份有限公司,研究机构
378,重庆文理学院面向海内外公开招聘二级学院院长公告,互联网科技企业
379,北京航空航天大学云南创新研究院,研究机构
380,远东控股集团有限公司,金融企业
382,锐方（上海）私募基金管理有限公司,金融企业
383,上海烟草机械有限责任公司高层次人才招聘简章,互联网科技企业
384,北京市正泽学校2021年教师招聘公告,互联网科技企业
385,香港科技大学工学院理学硕士（MSc）综合场线上招生宣讲会,人文知识企业
386,天正地产集团有限公司,其他类型企业
387,中国电建集团青海省电力设计院有限公司,工业科技企业
388,南京理工大学新能源学院教师招聘,教育单位类
389,中铁投资集团有限公司,金融企业
390,厦门工学院2021-2022年教师招聘启事,互联网科技企业
392,浙江大学王绪化团队招聘博士后和科研助理,教育单位类
393,中国科学院长春应用化学研究所,研究机构
394,东北农业大学2021年下半年人才公开招聘公告,互联网科技企业
395,南京工业大学电控学院分论坛诚邀海内外英才参加,互联网科技企业
396,中国船舶工业系统工程研究院,研究机构
397,深圳九算优化科技有限公司,互联网科技企业
398,红谷集群科技有限公司,互联网科技企业
400,北京胜信网络科技有限公司,互联网科技企业
402,梦想启航 “职”通未来-内蒙古大学2021-2022年高薪诚聘海内外人才,互联网科技企业
403,广聚英才 共谋发展 南京工业职业技术大学2021年下半年海内外优秀人才招聘公告,互联网科技企业
404,中电国营第七二二厂秋季招聘公告,其他类型企业
405,筑巢引才 振兴三晋-晋中学院2021年人才引进公告,互联网科技企业
406,新拓尼克（北京）科技研发中心有限公司,互联网科技企业
407,中车株洲电力机车研究所有限公司 2022届校园招聘公告,研究机构
408,河北工大科雅能源科技股份有限公司,高新技术企业
409,电子工业出版社有限公司,工业科技企业
410,山东电力设备有限公司,工业科技企业
411,攀枝花学院2021年高层次人才招聘简章,互联网科技企业
412,东软集团,其他类型企业
413,邯郸制药股份有限公司,医疗科技企业
414,西比爱斯汽车技术（上海）有限公司,互联网科技企业
415,嘉实基金2022校园招聘,金融企业
416,中资网络信息安全科技有限公司2022校招持续中【地点：北京】,互联网科技企业
417,南京理工大学网络空间安全学院教师招聘,教育单位类
419,荷兰帕沃英蒂格盛有限公司深圳代表处,其他类型企业
420,广东省特种设备检测研究院珠海检测院2022年招聘公告,互联网科技企业
421,清华大学张晨团队2021年诚聘数据科学方向优秀博士后和科研助理,互联网科技企业
422,浙江中控技术股份有限公司,互联网科技企业
423,光大科技有限公司秋季招聘,互联网科技企业
424,长城物业集团股份有限公司北京物业管理分公司,专业技术服务企业
425,西华大学2021年人才招聘公告,互联网科技企业
426,中国科学院海西研究院厦门稀土材料研究中心2021-2022年科研人才招聘启事,互联网科技企业
427,南孔圣地-衢州有礼-事业编制-衢州学院2021年下半年人才招聘公告-评聘高级职称名额充足-解决子女入学,互联网科技企业
428,深圳小库科技有限公司,互联网科技企业
434,深圳大学智能物联网中心杨亚涛特聘教授团队2021年博士后招聘公告,互联网科技企业
435,政府咨询项目助理,专业技术服务企业
436,商业火箭技术公司【零壹空间】邀您来撩！,互联网科技企业
437,奋斗百年路 启航新征程-山东理工大学2021年诚聘海内外高层次人才,互联网科技企业
438,中国联通哈尔滨软件研究院,研究机构
