招聘主题,用人单位,发布日期,浏览次数
软件开发工程师,北京宏天信业信息技术股份有限公司,2021-12-16,62
电仪工程师,天津利安隆新材料股份有限公司,2021-12-15,91
营销培训生,内蒙古伊利实业集团股份有限公司成都第一分公司,2021-12-15,64
外贸业务员,上海浦劢实业有限公司,2021-12-15,60
特变电工自控设备有限公司2022届校园招聘简章,新疆特变电工自控设备有限公司,2021-12-15,56
华为终端 2022届新零售管培生招聘,深圳慧通商务有限公司,2021-12-15,82
未来已来 只等你来 ——海南自由贸易港招才引智活动致广大学子的邀请函,国投人力资源服务有限公司,2021-12-15,59
管培生,中信证券股份有限公司北京分公司,2021-12-15,83
助理工程师,中国建筑股份有限公司国际工程分公司,2021-12-14,70
电路设计工程师,华玻视讯（珠海）科技有限公司,2021-12-14,62
管理培训生,中粮福临门食品营销有限公司西安分公司,2021-12-14,65
电商主播,西安巨蛋网络科技有限公司,2021-12-14,63
探店达人,西安巨蛋网络科技有限公司,2021-12-14,64
销售工程师,上海仪准电子科技有限公司,2021-12-14,59
销售工程师,上海仪准电子科技有限公司,2021-12-14,56
贴合工程师,华玻视讯（珠海）科技有限公司,2021-12-14,62
材料工程师,华玻视讯（珠海）科技有限公司,2021-12-14,61
专任教师,绵阳职业技术学院,2021-12-14,73
技术储干,珠海市睿影科技有限公司,2021-12-14,64
博士招聘-2021下半年“海外学者中国行”欢迎您参加,学术桥（北京）教育科技有限公司,2021-12-14,62
博士招聘-2021下半年“海外学者中国行”欢迎您参加,学术桥（北京）教育科技有限公司,2021-12-14,61
管培生,通辽梅花生物科技有限公司,2021-12-14,59
深圳市创新投资集团有限公司（简称“深创投”）博士后工作站面向社会招收2022级博士研究生,西安创新投资管理有限公司,2021-12-14,87
图像算法工程师-三维视觉方向,广州敏视数码科技有限公司,2021-12-13,68
单片机软件工程师,广州敏视数码科技有限公司,2021-12-13,86
硬件工程师,广州敏视数码科技有限公司,2021-12-13,73
C++软件工程师,广州敏视数码科技有限公司,2021-12-13,88
技术与研发类,大连东软教育科技集团有限公司,2021-12-13,85
全栈软件工程师,萝卜太辣（北京）科技有限公司西安分公司,2021-12-13,70
班主任老师,西安西补教育培训学校有限责任公司,2021-12-13,68
管培生（人力资源方向）,广州敏视数码科技有限公司,2021-12-13,58
管培生（财务方向）,广州敏视数码科技有限公司,2021-12-13,65
管培生（工业工程）,广州敏视数码科技有限公司,2021-12-13,67
管培生（行政方向）,广州敏视数码科技有限公司,2021-12-13,60
硬件工程师,深圳市安保科技有限公司,2021-12-13,64
嵌入式软件工程师,深圳市安保科技有限公司,2021-12-13,67
算法工程师,深圳市安保科技有限公司,2021-12-13,62
海外销售业务员（英语\日语\西班牙语\俄语\德语）,广州敏视数码科技有限公司,2021-12-13,70
外贸助理（跟单方向）,广州敏视数码科技有限公司,2021-12-13,58
文案策划,广州敏视数码科技有限公司,2021-12-13,58
机械工程师,深圳市安保科技有限公司,2021-12-13,58
